candidate_id,location_score,exp_score,engagement_score,consulting_penalty,is_honeypot,yoe,notice_days,country,current_title
CAND_0000001,0.1,1.0,0.808,1.0,False,6.9,60,Canada,Backend Engineer
CAND_0000002,1.0,0.6,0.398,1.0,False,12.5,60,India,Operations Manager
CAND_0000003,0.1,0.4,0.47200000000000003,0.2,False,1.1,150,USA,Customer Support
CAND_0000004,0.6,0.4,0.432,1.0,False,3.8,120,Australia,Marketing Manager
CAND_0000005,1.0,0.8,0.47400000000000003,1.0,False,11.0,30,India,Accountant
CAND_0000006,0.6,1.0,0.244,1.0,False,6.0,150,USA,Business Analyst
CAND_0000007,1.0,1.0,0.784,1.0,False,5.5,30,India,Civil Engineer
CAND_0000008,1.0,0.4,0.34400000000000003,0.2,False,3.6,90,India,Operations Manager
CAND_0000009,0.1,0.8,0.326,1.0,False,11.0,150,USA,Mechanical Engineer
CAND_0000010,0.1,0.8,0.46,1.0,False,4.6,120,UK,Data Engineer
CAND_0000011,1.0,0.4,0.37200000000000005,1.0,False,2.0,90,India,QA Engineer
CAND_0000012,1.0,0.4,0.23199999999999998,1.0,False,1.1,60,India,Operations Manager
CAND_0000013,0.1,0.4,0.736,1.0,False,1.1,30,UAE,Civil Engineer
CAND_0000014,1.0,1.0,0.5800000000000001,1.0,False,8.4,90,India,Frontend Engineer
CAND_0000015,1.0,1.0,0.464,1.0,False,5.4,90,India,Software Engineer
CAND_0000016,1.0,1.0,0.5880000000000001,1.0,False,5.3,60,India,Accountant
CAND_0000017,1.0,0.6,0.194,1.0,False,12.3,90,India,Accountant
CAND_0000018,1.0,1.0,0.252,1.0,False,6.6,120,India,Frontend Engineer
CAND_0000019,1.0,1.0,0.6679999999999999,1.0,False,6.5,60,India,Project Manager
CAND_0000020,1.0,1.0,0.37000000000000005,1.0,False,6.3,30,India,Mechanical Engineer
CAND_0000021,1.0,0.6,0.298,1.0,False,14.5,60,India,Project Manager
CAND_0000022,0.1,0.4,0.5740000000000001,1.0,False,1.1,150,Australia,Mechanical Engineer
CAND_0000023,0.1,0.4,0.6539999999999999,1.0,False,3.7,30,USA,Software Engineer
CAND_0000024,1.0,1.0,0.47600000000000003,0.2,False,7.5,60,India,HR Manager
CAND_0000025,1.0,1.0,0.6679999999999999,1.0,False,7.3,120,India,Frontend Engineer
CAND_0000026,1.0,1.0,0.378,1.0,False,6.8,30,India,Graphic Designer
CAND_0000027,1.0,0.4,0.796,0.2,False,3.9,90,India,DevOps Engineer
CAND_0000028,0.6,0.4,0.508,0.2,False,1.1,60,UAE,Operations Manager
CAND_0000029,1.0,1.0,0.22399999999999998,1.0,False,7.2,60,India,Business Analyst
CAND_0000030,1.0,0.8,0.332,1.0,False,10.0,60,India,Marketing Manager
CAND_0000031,1.0,1.0,0.9220000000000002,1.0,False,6.0,60,India,Recommendation Systems Engineer
CAND_0000032,1.0,1.0,0.35800000000000004,1.0,False,8.1,150,India,.NET Developer
CAND_0000033,1.0,1.0,0.696,1.0,False,8.6,30,India,Graphic Designer
CAND_0000034,1.0,0.6,0.29000000000000004,1.0,False,14.5,90,India,Business Analyst
CAND_0000035,1.0,0.8,0.38799999999999996,1.0,False,4.3,60,India,Full Stack Developer
CAND_0000036,1.0,0.8,0.54,1.0,False,11.3,60,India,Project Manager
CAND_0000037,0.1,0.6,0.536,1.0,False,14.3,30,UAE,Business Analyst
CAND_0000038,1.0,1.0,0.6,1.0,False,6.7,90,India,Java Developer
CAND_0000039,1.0,0.4,0.6440000000000001,1.0,False,3.9,30,India,Marketing Manager
CAND_0000040,1.0,0.4,0.35200000000000004,1.0,False,1.6,90,India,Customer Support
CAND_0000041,1.0,0.6,0.5740000000000001,1.0,False,13.7,90,India,Operations Manager
CAND_0000042,0.6,1.0,0.376,1.0,False,5.0,30,Germany,HR Manager
CAND_0000043,1.0,1.0,0.228,1.0,False,8.3,120,India,Cloud Engineer
CAND_0000044,1.0,1.0,0.392,1.0,False,5.7,90,India,Frontend Engineer
CAND_0000045,1.0,0.6,0.744,1.0,False,12.2,60,India,Project Manager
CAND_0000046,0.6,1.0,0.462,1.0,False,7.8,30,UK,Mechanical Engineer
CAND_0000047,1.0,0.4,0.498,0.2,False,2.4,90,India,Project Manager
CAND_0000048,1.0,0.8,0.6499999999999999,1.0,False,9.7,120,India,Mobile Developer
CAND_0000049,0.1,0.8,0.6180000000000001,1.0,False,11.8,120,Germany,Mechanical Engineer
CAND_0000050,1.0,0.6,0.22400000000000003,1.0,False,13.5,90,India,Business Analyst
CAND_0000051,0.6,1.0,0.546,1.0,False,6.2,90,UAE,Cloud Engineer
CAND_0000052,1.0,0.4,0.35600000000000004,1.0,False,1.4,90,India,Mechanical Engineer
CAND_0000053,1.0,0.4,0.21000000000000002,1.0,False,3.9,90,India,Graphic Designer
CAND_0000054,1.0,0.8,0.45,1.0,False,4.9,90,India,QA Engineer
CAND_0000055,1.0,1.0,0.5900000000000001,1.0,False,7.3,150,India,Full Stack Developer
CAND_0000056,0.1,0.4,0.318,0.2,False,1.3,60,Singapore,Frontend Engineer
CAND_0000057,1.0,0.4,0.286,1.0,False,3.3,60,India,Customer Support
CAND_0000058,0.6,0.8,0.4,1.0,False,10.1,90,USA,HR Manager
CAND_0000059,1.0,0.4,0.45199999999999996,0.2,False,1.5,90,India,Frontend Engineer
CAND_0000060,1.0,1.0,0.5640000000000001,1.0,False,8.0,120,India,Cloud Engineer
CAND_0000061,1.0,1.0,0.354,1.0,False,7.7,60,India,DevOps Engineer
CAND_0000062,0.1,0.8,0.698,0.2,False,4.3,90,USA,DevOps Engineer
CAND_0000063,1.0,1.0,0.714,1.0,False,5.4,90,India,Java Developer
CAND_0000064,0.6,0.8,0.252,1.0,False,4.5,60,UK,Accountant
CAND_0000065,1.0,0.8,0.614,1.0,False,9.7,90,India,Project Manager
CAND_0000066,1.0,0.4,0.644,1.0,False,2.4,90,India,Content Writer
CAND_0000067,0.6,0.4,0.5900000000000001,1.0,False,3.9,150,USA,Frontend Engineer
CAND_0000068,1.0,0.4,0.79,0.2,False,1.5,30,India,Java Developer
CAND_0000069,1.0,0.6,0.48600000000000004,1.0,False,13.0,90,India,Business Analyst
CAND_0000070,1.0,0.8,0.432,1.0,False,4.2,90,India,Business Analyst
CAND_0000071,0.6,0.4,0.254,1.0,False,1.8,120,Singapore,DevOps Engineer
CAND_0000072,1.0,1.0,0.5680000000000001,1.0,False,7.0,30,India,Frontend Engineer
CAND_0000073,1.0,0.6,0.404,1.0,False,12.1,90,India,Project Manager
CAND_0000074,1.0,0.4,0.346,1.0,False,1.9,60,India,Operations Manager
CAND_0000075,1.0,1.0,0.6759999999999999,1.0,False,5.2,30,India,Full Stack Developer
CAND_0000076,1.0,0.8,0.408,1.0,False,12.0,60,India,Project Manager
CAND_0000077,1.0,1.0,0.30000000000000004,1.0,False,8.7,120,India,Frontend Engineer
CAND_0000078,1.0,0.8,0.538,1.0,False,10.3,150,India,Business Analyst
CAND_0000079,1.0,0.6,0.5840000000000001,1.0,False,13.2,90,India,Customer Support
CAND_0000080,1.0,1.0,0.594,1.0,False,8.3,90,India,Graphic Designer
CAND_0000081,1.0,0.8,0.202,1.0,False,10.1,90,India,Accountant
CAND_0000082,0.1,1.0,0.524,1.0,False,7.4,120,USA,Data Analyst
CAND_0000083,0.1,1.0,0.518,1.0,False,6.7,90,Germany,Graphic Designer
CAND_0000084,1.0,0.8,0.514,1.0,False,10.6,90,India,Marketing Manager
CAND_0000085,1.0,0.6,0.29400000000000004,1.0,False,12.9,90,India,Mechanical Engineer
CAND_0000086,1.0,0.8,0.342,0.2,False,4.9,90,India,Mechanical Engineer
CAND_0000087,1.0,0.4,0.78,1.0,False,2.5,120,India,Full Stack Developer
CAND_0000088,1.0,1.0,0.48600000000000004,1.0,False,7.6,30,India,Java Developer
CAND_0000089,0.6,0.4,0.238,1.0,False,1.1,150,Canada,Mechanical Engineer
CAND_0000090,1.0,0.4,0.518,1.0,False,1.7,90,India,QA Engineer
CAND_0000091,1.0,0.4,0.438,1.0,False,3.6,120,India,Frontend Engineer
CAND_0000092,1.0,0.8,0.15000000000000002,1.0,False,4.8,90,India,Business Analyst
CAND_0000093,1.0,1.0,0.42400000000000004,1.0,False,8.2,90,India,Civil Engineer
CAND_0000094,0.6,0.4,0.43,1.0,False,2.6,60,USA,Graphic Designer
CAND_0000095,1.0,1.0,0.554,1.0,False,6.7,150,India,HR Manager
CAND_0000096,1.0,0.4,0.396,1.0,False,3.2,90,India,QA Engineer
CAND_0000097,1.0,1.0,0.35200000000000004,1.0,False,5.8,30,India,Mechanical Engineer
CAND_0000098,1.0,0.4,0.81,0.2,False,1.7,30,India,Business Analyst
CAND_0000099,1.0,0.4,0.8420000000000001,1.0,False,2.6,90,India,Full Stack Developer
CAND_0000100,1.0,0.6,0.29200000000000004,1.0,False,13.5,90,India,Graphic Designer
CAND_0000101,1.0,1.0,0.5920000000000001,1.0,False,7.0,120,India,Customer Support
CAND_0000102,1.0,0.4,0.326,1.0,False,3.7,30,India,Operations Manager
CAND_0000103,1.0,0.8,0.622,1.0,False,11.7,90,India,Mechanical Engineer
CAND_0000104,0.1,1.0,0.42200000000000004,1.0,False,8.1,90,USA,Mobile Developer
CAND_0000105,1.0,0.8,0.28800000000000003,1.0,False,12.0,120,India,Mechanical Engineer
CAND_0000106,1.0,1.0,0.18000000000000002,1.0,False,6.6,90,India,Marketing Manager
CAND_0000107,1.0,0.8,0.416,1.0,False,11.5,150,India,Mechanical Engineer
CAND_0000108,1.0,0.4,0.48200000000000004,1.0,False,3.6,60,India,Full Stack Developer
CAND_0000109,1.0,0.4,0.5599999999999999,1.0,False,2.2,90,India,Mechanical Engineer
CAND_0000110,1.0,0.8,0.6539999999999999,1.0,False,9.8,150,India,Software Engineer
CAND_0000111,1.0,0.4,0.198,1.0,False,2.5,120,India,Graphic Designer
CAND_0000112,1.0,0.4,0.542,1.0,False,3.8,45,India,AI Specialist
CAND_0000113,1.0,0.4,0.49,0.2,False,1.8,60,India,.NET Developer
CAND_0000114,1.0,0.6,0.744,1.0,False,14.3,60,India,Sales Executive
CAND_0000115,1.0,1.0,0.20600000000000002,1.0,False,7.8,120,India,Operations Manager
CAND_0000116,0.1,1.0,0.788,1.0,False,7.3,150,USA,Full Stack Developer
CAND_0000117,0.1,1.0,0.256,1.0,False,7.9,90,USA,QA Engineer
CAND_0000118,1.0,1.0,0.532,1.0,False,7.2,120,India,Graphic Designer
CAND_0000119,1.0,0.8,0.242,1.0,False,10.1,120,India,Graphic Designer
CAND_0000120,1.0,1.0,0.5959999999999999,1.0,False,5.7,60,India,Graphic Designer
CAND_0000121,1.0,0.4,0.6480000000000001,1.0,False,3.7,30,India,Customer Support
CAND_0000122,1.0,0.8,0.32,1.0,False,9.7,150,India,Civil Engineer
CAND_0000123,1.0,0.8,0.532,1.0,False,10.0,90,India,Marketing Manager
CAND_0000124,1.0,1.0,0.466,1.0,False,7.6,90,India,Operations Manager
CAND_0000125,1.0,1.0,0.26,1.0,False,6.5,150,India,Sales Executive
CAND_0000126,1.0,0.4,0.438,1.0,False,2.5,120,India,Mechanical Engineer
CAND_0000127,1.0,1.0,0.39999999999999997,1.0,False,6.7,60,India,Mobile Developer
CAND_0000128,1.0,1.0,0.4,1.0,False,8.5,120,India,Mobile Developer
CAND_0000129,0.6,1.0,0.456,1.0,False,8.0,120,Canada,Graphic Designer
CAND_0000130,1.0,1.0,0.546,1.0,False,8.6,150,India,Cloud Engineer
CAND_0000131,1.0,0.8,0.5840000000000001,1.0,False,4.8,60,India,Data Analyst
CAND_0000132,1.0,1.0,0.23600000000000002,1.0,False,7.7,90,India,Sales Executive
CAND_0000133,1.0,0.8,0.30400000000000005,1.0,False,11.7,120,India,Graphic Designer
CAND_0000134,1.0,1.0,0.398,1.0,False,8.6,120,India,Full Stack Developer
CAND_0000135,0.1,1.0,0.49800000000000005,1.0,False,8.2,90,UAE,Civil Engineer
CAND_0000136,1.0,1.0,0.42200000000000004,1.0,False,6.5,90,India,QA Engineer
CAND_0000137,1.0,0.8,0.704,1.0,False,10.9,60,India,Mechanical Engineer
CAND_0000138,1.0,1.0,0.6500000000000001,1.0,False,8.3,120,India,Business Analyst
CAND_0000139,1.0,1.0,0.3,1.0,False,5.6,60,India,Customer Support
CAND_0000140,1.0,1.0,0.41800000000000004,1.0,False,8.1,150,India,Civil Engineer
CAND_0000141,1.0,0.4,0.6480000000000001,1.0,False,1.5,90,India,Accountant
CAND_0000142,1.0,1.0,0.538,1.0,False,5.1,60,India,Mobile Developer
CAND_0000143,1.0,1.0,0.45,1.0,False,7.7,150,India,Graphic Designer
CAND_0000144,1.0,0.6,0.5,1.0,False,14.7,60,India,Graphic Designer
CAND_0000145,1.0,0.4,0.15400000000000003,1.0,False,3.4,90,India,Business Analyst
CAND_0000146,1.0,1.0,0.222,1.0,False,6.6,120,India,Sales Executive
CAND_0000147,1.0,1.0,0.512,1.0,False,5.2,60,India,Civil Engineer
CAND_0000148,1.0,0.6,0.6739999999999999,1.0,False,13.9,30,India,Content Writer
CAND_0000149,0.1,0.6,0.30600000000000005,1.0,False,14.9,30,Canada,Graphic Designer
CAND_0000150,1.0,1.0,0.466,1.0,False,5.4,30,India,Content Writer
CAND_0000151,1.0,1.0,0.30800000000000005,1.0,False,6.3,150,India,Civil Engineer
CAND_0000152,1.0,0.8,0.322,1.0,False,4.0,150,India,QA Engineer
CAND_0000153,0.6,0.4,0.5680000000000001,1.0,False,3.8,30,USA,Graphic Designer
CAND_0000154,1.0,0.8,0.6280000000000001,1.0,False,9.9,150,India,HR Manager
CAND_0000155,1.0,0.4,0.37999999999999995,1.0,False,3.2,60,India,Software Engineer
CAND_0000156,1.0,1.0,0.43800000000000006,1.0,False,5.5,30,India,Civil Engineer
CAND_0000157,1.0,0.4,0.18000000000000002,1.0,False,3.1,120,India,Mechanical Engineer
CAND_0000158,1.0,0.8,0.264,1.0,False,4.4,150,India,Frontend Engineer
CAND_0000159,0.1,0.8,0.51,1.0,False,4.4,90,Singapore,Java Developer
CAND_0000160,1.0,1.0,0.41800000000000004,1.0,False,7.0,120,India,Software Engineer
CAND_0000161,1.0,0.6,0.312,1.0,False,12.4,60,India,Accountant
CAND_0000162,0.1,0.6,0.464,1.0,False,13.8,120,USA,Business Analyst
CAND_0000163,1.0,0.6,0.286,1.0,False,12.3,60,India,Marketing Manager
CAND_0000164,1.0,0.4,0.324,0.2,False,3.7,150,India,Content Writer
CAND_0000165,0.6,1.0,0.7,1.0,False,6.8,120,USA,AI Specialist
CAND_0000166,0.6,0.8,0.17800000000000002,1.0,False,4.8,120,UK,Customer Support
CAND_0000167,1.0,0.8,0.752,1.0,False,9.1,60,India,Business Analyst
CAND_0000168,1.0,0.8,0.40599999999999997,1.0,False,10.7,30,India,Sales Executive
CAND_0000169,1.0,0.6,0.6599999999999999,1.0,False,14.9,60,India,Civil Engineer
CAND_0000170,1.0,0.8,0.6339999999999999,1.0,False,4.8,60,India,HR Manager
CAND_0000171,0.1,0.4,0.18200000000000002,1.0,False,2.9,90,UAE,Graphic Designer
CAND_0000172,1.0,0.8,0.6159999999999999,1.0,False,10.9,60,India,Marketing Manager
CAND_0000173,1.0,1.0,0.28400000000000003,1.0,False,7.9,90,India,Marketing Manager
CAND_0000174,1.0,0.4,0.39599999999999996,0.2,False,2.7,60,India,Marketing Manager
CAND_0000175,0.1,0.4,0.284,0.2,False,3.7,60,Australia,Project Manager
CAND_0000176,0.1,0.8,0.55,1.0,False,4.5,90,USA,Project Manager
CAND_0000177,1.0,0.6,0.534,1.0,False,12.2,60,India,Customer Support
CAND_0000178,0.1,1.0,0.6200000000000001,1.0,False,8.3,120,Canada,Sales Executive
CAND_0000179,1.0,0.4,0.652,1.0,False,3.2,90,India,.NET Developer
CAND_0000180,1.0,1.0,0.29600000000000004,1.0,False,8.5,90,India,Customer Support
CAND_0000181,0.6,0.8,0.6780000000000002,1.0,False,4.7,90,Canada,Project Manager
